Model,Weighted_Yield,Weighted_Quality,Weighted_QYI,Cost
Claude-3.7-Sonnet,0.6146788990825688,0.6467970479045777,0.5437100072536825,9.036786000000001
DeepSeek-R1,0.5137614678899083,0.575053046727451,0.47430650703666505,1.92043543
DeepSeek-V3-0304,0.37155963302752293,0.46449403150487156,0.3321760456426633,0.42010625
GPT-o4-mini:high,0.6926605504587156,0.6439745393516236,0.6088897345539104,5.4771772
Gemini-2.5-Flash-0417,0.481651376146789,0.5700149110092494,0.4760032051351386,1.85568115
Gemini-2.5-Pro-0506,0.481651376146789,0.5608647670855437,0.47672151650201616,6.45204375
LLaMA-3.3-70B-Instruct,0.39908256880733944,0.4407417854212146,0.4108318931687122,0.08199075000000002
LLaMA-4-Maverick-17B-128E-Instruct,0.3348623853211009,0.37124072927526147,0.3050128643108278,0.205872
Qwen3-235B-A22B,0.41284403669724773,0.4797845462078994,0.4268816150841156,0.6671331428571428
